TimeUTC;Калининград ТЭЦ-2 Г-11, Fa, Гц[01200603/FA/none/none];Калининград ТЭЦ-2 Г-11, U1, В[01200603/U+/none/none];Калининград ТЭЦ-2 Г-11, P, Вт[01200603/P/none/none];Калининград ТЭЦ-2 Г-11, Q, вар[01200603/Q/none/none]
15.01.2022 21:00:00.000000;50,0388984680176;8921,6396484375;151333936;-9333932
15.01.2022 21:00:00.020000;50,0399017333984;8922;151127936;-9282849
15.01.2022 21:00:00.040000;50,0419998168945;8922,509765625;151072368;-9253476
15.01.2022 21:00:00.060000;50,0414009094238;8922,080078125;151259920;-9285450
15.01.2022 21:00:00.080000;50,0388984680176;8921,419921875;151381488;-9324080
15.01.2022 21:00:00.100000;50,0390014648438;8921,9296875;151217568;-9319926
15.01.2022 21:00:00.120000;50,0415992736816;8923,009765625;151066560;-9296420
15.01.2022 21:00:00.140000;50,0423011779785;8923,0703125;151247232;-9303096
15.01.2022 21:00:00.160000;50,0402984619141;8922,3095703125;151487808;-9325313
15.01.2022 21:00:00.180000;50,0391998291016;8922,1904296875;151414784;-9296505
15.01.2022 21:00:00.200000;50,0410995483398;8922,8701171875;151234448;-9224976
15.01.2022 21:00:00.220000;50,0424003601074;8922,9501953125;151340976;-9174983
15.01.2022 21:00:00.240000;50,0404014587402;8921,919921875;151610688;-9159536
15.01.2022 21:00:00.260000;50,0383987426758;8921,41015625;151621168;-9169269
15.01.2022 21:00:00.280000;50,0400009155273;8922,400390625;151385232;-9194484
15.01.2022 21:00:00.300000;50,0423011779785;8923,1796875;151343376;-9213080
15.01.2022 21:00:00.320000;50,0411987304688;8922,4404296875;151608080;-9221802
15.01.2022 21:00:00.340000;50,0382995605469;8921,6201171875;151752320;-9222222
15.01.2022 21:00:00.360000;50,0381011962891;8922,1904296875;151567072;-9207558
15.01.2022 21:00:00.380000;50,0407981872559;8923,150390625;151456832;-9193771
15.01.2022 21:00:00.400000;50,0416984558105;8922,8203125;151709264;-9200589
15.01.2022 21:00:00.420000;50,0390014648438;8921,73046875;151937568;-9216808
15.01.2022 21:00:00.440000;50,0373992919922;8921,6298828125;151744560;-9217589
15.01.2022 21:00:00.460000;50,0396995544434;8922,4697265625;151447904;-9196800
15.01.2022 21:00:00.480000;50,0418014526367;8922,58984375;151538256;-9177193
15.01.2022 21:00:00.500000;50,0399017333984;8921,58984375;151806528;-9181689
15.01.2022 21:00:00.520000;50,0373992919922;8921,0302734375;151725648;-9203918
15.01.2022 21:00:00.540000;50,0383987426758;8921,8603515625;151403248;-9218260
15.01.2022 21:00:00.560000;50,040901184082;8922,66015625;151378880;-9224470
15.01.2022 21:00:00.580000;50,0401992797852;8922,23046875;151664464;-9246748
15.01.2022 21:00:00.600000;50,0374984741211;8921,7099609375;151723600;-9277378
15.01.2022 21:00:00.620000;50,0376014709473;8922,349609375;151402976;-9279214
15.01.2022 21:00:00.640000;50,0405006408691;8923,330078125;151200080;-9247647
15.01.2022 21:00:00.660000;50,0414009094238;8923,1796875;151390432;-9217768
15.01.2022 21:00:00.680000;50,0388984680176;8922,23046875;151544384;-9210891
15.01.2022 21:00:00.700000;50,0371017456055;8921,9296875;151290224;-9198185
15.01.2022 21:00:00.720000;50,0388984680176;8922,509765625;150988864;-9158642
15.01.2022 21:00:00.740000;50,0410995483398;8922,83984375;151114144;-9136841
15.01.2022 21:00:00.760000;50,0401000976563;8922,4697265625;151395328;-9154999
15.01.2022 21:00:00.780000;50,0377998352051;8922,2998046875;151287312;-9173771
15.01.2022 21:00:00.800000;50,0382995605469;8922,9599609375;150948560;-9172607
15.01.2022 21:00:00.820000;50,040699005127;8923,5703125;150947632;-9167121
15.01.2022 21:00:00.840000;50,040599822998;8923,349609375;151270496;-9171830
15.01.2022 21:00:00.860000;50,0379981994629;8923,009765625;151357744;-9172119
15.01.2022 21:00:00.880000;50,0373001098633;8923,330078125;151055920;-9138956
15.01.2022 21:00:00.900000;50,0397987365723;8923,849609375;150878912;-9100721
15.01.2022 21:00:00.920000;50,0411987304688;8923,759765625;151101680;-9110633
15.01.2022 21:00:00.940000;50,0390014648438;8923,16015625;151265424;-9132204
15.01.2022 21:00:00.960000;50,0371017456055;8923,009765625;151008656;-9093571
15.01.2022 21:00:00.980000;50,0388984680176;8923,5302734375;150725648;-9021732
15.01.2022 21:00:01.000000;50,0414009094238;8923,6396484375;150884400;-9004378
15.01.2022 21:00:01.020000;50,0400009155273;8922,8603515625;151210528;-9039841
15.01.2022 21:00:01.040000;50,0373992919922;8922,419921875;151164496;-9054785
15.01.2022 21:00:01.060000;50,038501739502;8923,25;150894560;-9045471
15.01.2022 21:00:01.080000;50,0415000915527;8924,2802734375;150956128;-9057779
15.01.2022 21:00:01.100000;50,0411987304688;8924,1298828125;151293504;-9076191
15.01.2022 21:00:01.120000;50,038200378418;8923,4697265625;151342832;-9050870
15.01.2022 21:00:01.140000;50,0377006530762;8923,669921875;151056272;-8987174
15.01.2022 21:00:01.160000;50,0407981872559;8924,3701171875;150981008;-8939792
15.01.2022 21:00:01.180000;50,0418014526367;8924,2001953125;151257040;-8934661
15.01.2022 21:00:01.200000;50,0387001037598;8923,2900390625;151365584;-8937435
15.01.2022 21:00:01.220000;50,0371017456055;8923,1796875;151088960;-8929041
15.01.2022 21:00:01.240000;50,0401000976563;8924,23046875;150917008;-8941893
15.01.2022 21:00:01.260000;50,0425987243652;8925;151163104;-8989718
15.01.2022 21:00:01.280000;50,0401992797852;8924,66015625;151391488;-9027427
15.01.2022 21:00:01.300000;50,0372009277344;8924,419921875;151208976;-9004954
15.01.2022 21:00:01.320000;50,0388984680176;8925,2998046875;150999440;-8954699
15.01.2022 21:00:01.340000;50,0424003601074;8926,150390625;151209344;-8953959
15.01.2022 21:00:01.360000;50,0415992736816;8925,7802734375;151494272;-8980988
15.01.2022 21:00:01.380000;50,038200378418;8925,080078125;151337360;-8951900
15.01.2022 21:00:01.400000;50,038501739502;8925,349609375;150998224;-8879372
15.01.2022 21:00:01.420000;50,0419006347656;8926,08984375;151060000;-8846045
15.01.2022 21:00:01.440000;50,0421981811523;8926,009765625;151399008;-8864417
15.01.2022 21:00:01.460000;50,0390014648438;8925,400390625;151421824;-8873253
15.01.2022 21:00:01.480000;50,0382995605469;8925,5498046875;151146592;-8841251
15.01.2022 21:00:01.500000;50,0410995483398;8926,400390625;151161600;-8816637
15.01.2022 21:00:01.520000;50,0421981811523;8926,650390625;151551392;-8845810
15.01.2022 21:00:01.540000;50,0396003723145;8926,169921875;151735936;-8887782
15.01.2022 21:00:01.560000;50,037899017334;8926,1298828125;151477184;-8882331
15.01.2022 21:00:01.580000;50,0400009155273;8926,83984375;151264544;-8842301
15.01.2022 21:00:01.600000;50,0419998168945;8927,1103515625;151429664;-8818556
15.01.2022 21:00:01.620000;50,0401992797852;8926,3798828125;151605680;-8819194
15.01.2022 21:00:01.640000;50,0377998352051;8925,830078125;151451840;-8812444
15.01.2022 21:00:01.660000;50,0390014648438;8926,25;151271056;-8789400
15.01.2022 21:00:01.680000;50,0411987304688;8926,6904296875;151464320;-8787214
15.01.2022 21:00:01.700000;50,0401000976563;8926,3798828125;151802768;-8833695
15.01.2022 21:00:01.720000;50,0376014709473;8926,1201171875;151778800;-8880051
15.01.2022 21:00:01.740000;50,0377006530762;8926,58984375;151469456;-8868537
15.01.2022 21:00:01.760000;50,0397987365723;8927,08984375;151388816;-8842344
15.01.2022 21:00:01.780000;50,0401992797852;8926,6103515625;151589344;-8858369
15.01.2022 21:00:01.800000;50,0379981994629;8925,6298828125;151633632;-8875572
15.01.2022 21:00:01.820000;50,0371017456055;8925,4697265625;151400240;-8838263
15.01.2022 21:00:01.840000;50,0390014648438;8925,990234375;151272288;-8775192
15.01.2022 21:00:01.860000;50,0401992797852;8926,01953125;151458688;-8747085
15.01.2022 21:00:01.880000;50,0386009216309;8925,51953125;151623984;-8756922
15.01.2022 21:00:01.900000;50,0368995666504;8925,509765625;151456544;-8763696
15.01.2022 21:00:01.920000;50,0377006530762;8926,150390625;151204400;-8750682
15.01.2022 21:00:01.940000;50,0393981933594;8926,5302734375;151223888;-8749194
15.01.2022 21:00:01.960000;50,0392990112305;8926,2802734375;151365456;-8777307
15.01.2022 21:00:01.980000;50,0377998352051;8926,01953125;151290224;-8799222
15.01.2022 21:00:02.000000;50,0373992919922;8926,330078125;151044800;-8792635
15.01.2022 21:00:02.020000;50,0388984680176;8926,900390625;150936576;-8776174
15.01.2022 21:00:02.040000;50,0396995544434;8927,0595703125;151046880;-8755771
15.01.2022 21:00:02.060000;50,0387992858887;8926,759765625;151120176;-8722156
15.01.2022 21:00:02.080000;50,0381011962891;8926,7197265625;150998352;-8677868
15.01.2022 21:00:02.100000;50,0386009216309;8927;150867904;-8664081
15.01.2022 21:00:02.120000;50,0388984680176;8926,8798828125;150876752;-8721218
15.01.2022 21:00:02.140000;50,0382995605469;8926,48046875;150915360;-8781051
15.01.2022 21:00:02.160000;50,0379981994629;8926,900390625;150904752;-8757977
15.01.2022 21:00:02.180000;50,0386009216309;8927,9296875;150910720;-8730365
15.01.2022 21:00:02.200000;50,0388984680176;8928,0703125;150925456;-8822689
15.01.2022 21:00:02.220000;50,0386009216309;8927,150390625;150873952;-8957047
15.01.2022 21:00:02.240000;50,0386009216309;8926,8203125;150836032;-8931547
15.01.2022 21:00:02.260000;50,0399017333984;8927,8203125;150966448;-8742731
15.01.2022 21:00:02.280000;50,040599822998;8928,7197265625;151222832;-8605636
15.01.2022 21:00:02.300000;50,0395011901855;8928,2197265625;151360480;-8649696
15.01.2022 21:00:02.320000;50,0381011962891;8927,0302734375;151258704;-8773574
15.01.2022 21:00:02.340000;50,0388984680176;8926,9296875;151168128;-8797422
15.01.2022 21:00:02.360000;50,040599822998;8928,1396484375;151360256;-8691960
15.01.2022 21:00:02.380000;50,0402984619141;8928,919921875;151649744;-8606088
15.01.2022 21:00:02.400000;50,0383987426758;8928,25;151680048;-8668820
15.01.2022 21:00:02.420000;50,0381011962891;8927,41015625;151523552;-8807693
15.01.2022 21:00:02.440000;50,0397987365723;8927,830078125;151555424;-8829693
15.01.2022 21:00:02.460000;50,0402984619141;8928,75;151791536;-8729943
15.01.2022 21:00:02.480000;50,0387001037598;8928,5400390625;151843424;-8709545
15.01.2022 21:00:02.500000;50,0377998352051;8927,490234375;151603456;-8812800
15.01.2022 21:00:02.520000;50,0391006469727;8927,26953125;151420640;-8849718
15.01.2022 21:00:02.540000;50,0400009155273;8927,9296875;151456400;-8750980
15.01.2022 21:00:02.560000;50,0387992858887;8927,8701171875;151417456;-8728122
15.01.2022 21:00:02.580000;50,0379981994629;8927,01953125;151160144;-8889104
15.01.2022 21:00:02.600000;50,0393981933594;8927,150390625;151018976;-8981859
15.01.2022 21:00:02.620000;50,0405006408691;8928,509765625;151185488;-8836526
15.01.2022 21:00:02.640000;50,0388984680176;8929,2998046875;151320448;-8705403
15.01.2022 21:00:02.660000;50,0373001098633;8928,6396484375;151134416;-8846959
15.01.2022 21:00:02.680000;50,038501739502;8927,580078125;150847104;-9106803
15.01.2022 21:00:02.700000;50,0401992797852;8927,25;150781792;-9192048
15.01.2022 21:00:02.720000;50,0397987365723;8927,48046875;150873424;-9100834
15.01.2022 21:00:02.740000;50,0388984680176;8927,669921875;150882624;-9033144
15.01.2022 21:00:02.760000;50,0401000976563;8927,849609375;150845488;-9040016
15.01.2022 21:00:02.780000;50,0414009094238;8928,150390625;150952128;-9010254
15.01.2022 21:00:02.800000;50,0404014587402;8928,2001953125;151147040;-8918277
15.01.2022 21:00:02.820000;50,0387001037598;8928,0595703125;151215392;-8857179
15.01.2022 21:00:02.840000;50,0387992858887;8928,1103515625;151122016;-8906369
15.01.2022 21:00:02.860000;50,0400009155273;8928,009765625;151004368;-9047203
15.01.2022 21:00:02.880000;50,0404014587402;8927,599609375;150982784;-9158866
15.01.2022 21:00:02.900000;50,0395011901855;8927,5595703125;151060848;-9146260
15.01.2022 21:00:02.920000;50,0392990112305;8928,25;151136512;-9048775
15.01.2022 21:00:02.940000;50,0401000976563;8928,6201171875;151136416;-9011258
15.01.2022 21:00:02.960000;50,0401992797852;8927,7001953125;151109600;-9110694
15.01.2022 21:00:02.980000;50,0396003723145;8926,669921875;151132256;-9192677
15.01.2022 21:00:03.000000;50,0400009155273;8927,400390625;151206992;-9081522
15.01.2022 21:00:03.020000;50,0410003662109;8928,990234375;151268368;-8895916
15.01.2022 21:00:03.040000;50,0407981872559;8928,8203125;151242320;-8903664
15.01.2022 21:00:03.060000;50,0393981933594;8926,8603515625;151137088;-9134127
15.01.2022 21:00:03.080000;50,0388984680176;8925,9501953125;151029536;-9307331
15.01.2022 21:00:03.100000;50,0402984619141;8927,41015625;151034672;-9197293
15.01.2022 21:00:03.120000;50,0415000915527;8929,26953125;151237536;-8964479
15.01.2022 21:00:03.140000;50,040599822998;8929,2001953125;151464432;-8943729
15.01.2022 21:00:03.160000;50,038501739502;8927,599609375;151410160;-9165096
15.01.2022 21:00:03.180000;50,038200378418;8926,6796875;151098672;-9349163
15.01.2022 21:00:03.200000;50,0401992797852;8927,1298828125;150889552;-9339757
15.01.2022 21:00:03.220000;50,0414009094238;8927,7099609375;151016464;-9228965
15.01.2022 21:00:03.240000;50,0402984619141;8927,5302734375;151260544;-9144227
15.01.2022 21:00:03.260000;50,038501739502;8926,76953125;151252736;-9144298
15.01.2022 21:00:03.280000;50,0387992858887;8926,400390625;151067104;-9176919
15.01.2022 21:00:03.300000;50,0402984619141;8926,740234375;151027920;-9173448
15.01.2022 21:00:03.320000;50,0401992797852;8926,6796875;151103808;-9205859
15.01.2022 21:00:03.340000;50,0392990112305;8926,2197265625;151079776;-9298043
15.01.2022 21:00:03.360000;50,0396995544434;8926,759765625;150999040;-9318988
15.01.2022 21:00:03.380000;50,040599822998;8927,66015625;151015840;-9261836
15.01.2022 21:00:03.400000;50,0401000976563;8927,2802734375;151103264;-9268823
15.01.2022 21:00:03.420000;50,0393981933594;8926,3095703125;151144512;-9338172
15.01.2022 21:00:03.440000;50,0396003723145;8926,3203125;151143360;-9326805
15.01.2022 21:00:03.460000;50,040699005127;8927,1396484375;151195184;-9229987
15.01.2022 21:00:03.480000;50,0413017272949;8927,2998046875;151318464;-9204165
15.01.2022 21:00:03.500000;50,0404014587402;8926,1796875;151412928;-9302698
15.01.2022 21:00:03.520000;50,0391998291016;8925,099609375;151415840;-9373974
15.01.2022 21:00:03.540000;50,0400009155273;8925,490234375;151431248;-9304574
15.01.2022 21:00:03.560000;50,0415992736816;8926,509765625;151576896;-9206792
15.01.2022 21:00:03.580000;50,0410003662109;8926,48046875;151775520;-9215828
15.01.2022 21:00:03.600000;50,0387001037598;8925,73046875;151835872;-9297518
15.01.2022 21:00:03.620000;50,0382995605469;8925,76953125;151715280;-9353768
15.01.2022 21:00:03.640000;50,0405006408691;8926,51953125;151611712;-9354789
15.01.2022 21:00:03.660000;50,0415000915527;8926,599609375;151658800;-9356436
15.01.2022 21:00:03.680000;50,0399017333984;8925,7900390625;151677056;-9392348
15.01.2022 21:00:03.700000;50,0386009216309;8925,2998046875;151513712;-9401477
15.01.2022 21:00:03.720000;50,0396995544434;8925,669921875;151355936;-9358575
15.01.2022 21:00:03.740000;50,040901184082;8925,91015625;151397104;-9332769
15.01.2022 21:00:03.760000;50,0397987365723;8925,259765625;151493680;-9353770
15.01.2022 21:00:03.780000;50,038200378418;8924,490234375;151422992;-9382288
15.01.2022 21:00:03.800000;50,0388984680176;8924,51953125;151270592;-9396232
15.01.2022 21:00:03.820000;50,0405006408691;8924,83984375;151283264;-9413223
15.01.2022 21:00:03.840000;50,0401992797852;8924,580078125;151431056;-9445399
15.01.2022 21:00:03.860000;50,0383987426758;8924,080078125;151458704;-9465323
15.01.2022 21:00:03.880000;50,0381011962891;8924,080078125;151339616;-9448370
15.01.2022 21:00:03.900000;50,0396003723145;8924,1904296875;151326480;-9421230
15.01.2022 21:00:03.920000;50,0401000976563;8923,7001953125;151518656;-9422801
15.01.2022 21:00:03.940000;50,038501739502;8922,9296875;151663008;-9449531
15.01.2022 21:00:03.960000;50,0377998352051;8922,7197265625;151564928;-9464427
15.01.2022 21:00:03.980000;50,0391998291016;8922,9296875;151455136;-9450700
15.01.2022 21:00:04.000000;50,0400009155273;8922,6396484375;151595936;-9437546
15.01.2022 21:00:04.020000;50,0383987426758;8921,75;151797216;-9462084
15.01.2022 21:00:04.040000;50,0368995666504;8921,26953125;151752096;-9513898
15.01.2022 21:00:04.060000;50,0377998352051;8921,509765625;151598016;-9545892
15.01.2022 21:00:04.080000;50,0391006469727;8921,669921875;151669216;-9571324
15.01.2022 21:00:04.100000;50,038501739502;8921,4296875;151862976;-9632490
15.01.2022 21:00:04.120000;50,0371017456055;8921,1904296875;151806944;-9676850
15.01.2022 21:00:04.140000;50,0373001098633;8921,2197265625;151538144;-9645537
15.01.2022 21:00:04.160000;50,0387001037598;8921,1796875;151436704;-9593323
15.01.2022 21:00:04.180000;50,0387001037598;8920,5400390625;151549344;-9596218
15.01.2022 21:00:04.200000;50,0374984741211;8919,7197265625;151544368;-9635205
15.01.2022 21:00:04.220000;50,0374984741211;8919,919921875;151386848;-9600085
15.01.2022 21:00:04.240000;50,0391998291016;8920,9501953125;151418704;-9450167
15.01.2022 21:00:04.260000;50,0393981933594;8921,0703125;151637600;-9361201
15.01.2022 21:00:04.280000;50,0374984741211;8919,8798828125;151625472;-9492365
15.01.2022 21:00:04.300000;50,0365982055664;8919,1103515625;151328864;-9685935
15.01.2022 21:00:04.320000;50,038501739502;8920,16015625;151190480;-9678452
15.01.2022 21:00:04.340000;50,0401992797852;8921,9697265625;151374976;-9497563
15.01.2022 21:00:04.360000;50,0387992858887;8922,41015625;151478800;-9421444
