Âðåìÿ, [ñ];Ug, [êÂ];Pg, [ÌÂò];Qg, [ÌÂàð];Fg, [Ãö];Uf, [Â];If, [À]
0;210.001179;319.8666694;307.5574673;49.99992371;0.52667731;0.521607816
0.02;210.0015352;319.8680568;307.5681092;49.99992371;0.526836038;0.521612108
0.04;210.0019632;319.8702644;307.5807022;49.99992752;0.526714027;0.521616578
0.06;210.0022466;319.8713928;307.5914138;49.99993896;0.52681911;0.521620035
0.08;210.0020025;319.8678495;307.5880126;49.99993134;0.524496675;0.521587193
0.1;210.0013309;319.861105;307.570384;49.99991608;0.525722444;0.521564424
0.12;210.000772;319.8561414;307.5541514;49.99991608;0.526369929;0.521562159
0.14;210.0005424;319.8544865;307.5479739;49.99991989;0.526643395;0.521575212
0.16;210.0004923;319.854419;307.5475726;49.99991989;0.526488423;0.521582961
0.18;210.00032;319.8531583;307.5437491;49.99991989;0.525444031;0.521575928
0.2;210.000059;319.8512624;307.5367653;49.99991608;0.526466727;0.52156812
0.22;209.999965;319.85111;307.5340933;49.99991608;0.526597083;0.521577537
0.24;209.9998876;319.8511389;307.5320359;49.99991608;0.525849521;0.521575451
0.26;209.9996711;319.8499869;307.5257614;49.99991608;0.526098669;0.52156353
0.28;209.9995364;319.8497455;307.5212857;49.99991608;0.526491761;0.521572173
0.3;209.9994684;319.8502399;307.5190277;49.99991608;0.525911212;0.521571159
0.32;209.9993148;319.849988;307.5142732;49.99991226;0.526454926;0.521565795
0.34;209.9992168;319.8504407;307.5103178;49.99990463;0.526172936;0.521566689
0.36;209.9995122;319.8545944;307.5161818;49.99990463;0.52770704;0.521588862
0.38;210.0001891;319.8618361;307.5338631;49.99991226;0.527143836;0.521615326
0.4;210.0009095;319.8688354;307.5534284;49.99991608;0.526865423;0.521620393
0.42;210.0014403;319.8738521;307.5673457;49.99991608;0.526494324;0.521617591
0.44;210.0017966;319.8775196;307.5760216;49.99991226;0.526505947;0.521613121
0.46;210.002117;319.8808687;307.5829114;49.99991226;0.526631117;0.521613359
0.48;210.0024593;319.8845231;307.5904071;49.99991226;0.526546359;0.52161932
0.5;210.0028381;319.8886211;307.5995587;49.99991608;0.526630521;0.521620393
0.52;210.0030952;319.8914547;307.6070477;49.99992752;0.526528418;0.521624446
0.54;210.0028552;319.8896745;307.6012075;49.99991989;0.524835646;0.521591008
0.56;210.0021461;319.8838952;307.5798165;49.99990845;0.525152743;0.521563768
0.58;210.0014839;319.8791238;307.5584969;49.99990845;0.526273191;0.521560311
0.6;210.0012143;319.8780572;307.5493627;49.99991226;0.526740134;0.521576226
0.62;210.0012141;319.8789521;307.5488592;49.99991608;0.526508987;0.52158612
0.64;210.001123;319.8784656;307.5457804;49.99991608;0.525751233;0.521580994
0.66;210.0008433;319.8761683;307.5372366;49.99991608;0.52603817;0.521567643
0.68;210.0006638;319.8747425;307.5314202;49.99991608;0.526467502;0.521575928
0.7;210.0006184;319.8743642;307.529968;49.99991608;0.526248217;0.521580815
0.72;210.000469;319.8728554;307.5258514;49.99991608;0.525995791;0.521569669
0.74;210.0002712;319.8706896;307.5198742;49.99991989;0.526191175;0.521567464
0.76;210.0001721;319.8693891;307.5170586;49.99991989;0.526563585;0.521572828
0.78;210.0000317;319.8675991;307.5133689;49.99991608;0.525713623;0.521572411
0.8;209.9999432;319.8661533;307.5098994;49.99990845;0.5268085;0.521564782
0.82;210.0003292;319.8691252;307.5197877;49.99991226;0.52788949;0.521601915
0.84;210.001073;319.8748405;307.5416762;49.99992371;0.527115166;0.521621883
0.86;210.0017298;319.8788887;307.5613214;49.99992752;0.526728749;0.521622837
0.88;210.002162;319.8808772;307.5741986;49.99992371;0.52632618;0.521619976
0.9;210.0024641;319.8818574;307.5830488;49.99992371;0.526542962;0.521615446
0.92;210.0027392;319.882788;307.5910138;49.99992371;0.526747644;0.521617711
0.94;210.0030638;319.8842383;307.6002126;49.99992371;0.526661932;0.521621466
0.96;210.0033971;319.885972;307.6108952;49.99992752;0.526771486;0.521624744
0.98;210.0033957;319.884628;307.6139149;49.99993515;0.524669528;0.521615624
1;210.0027772;319.8779003;307.5989744;49.99992371;0.525142789;0.521575749
1.02;210.0019662;319.870038;307.5756964;49.99991608;0.525796652;0.521557689
1.04;210.0014713;319.8657222;307.5616516;49.99991989;0.526723087;0.521570802
1.06;210.0013404;319.8647523;307.5589944;49.99991989;0.526613116;0.521585047
1.08;210.0012043;319.8634075;307.5565638;49.99991989;0.525665164;0.521584392
1.1;210.0009247;319.8605965;307.5493236;49.99991989;0.526042819;0.521570683
1.12;210.0007178;319.8586777;307.5437669;49.99991989;0.526573539;0.521577001
1.14;210.0005731;319.8574406;307.5404494;49.99991989;0.525869131;0.521576583
1.16;210.0002793;319.8549907;307.5331772;49.99991989;0.52608633;0.521565735
1.18;209.9998735;319.851719;307.5224857;49.99991608;0.525574684;0.521558225
1.2;209.9996536;319.8501725;307.5159666;49.99991989;0.526746631;0.52156502
1.22;209.9996628;319.8507532;307.5163723;49.99991989;0.526621759;0.521576464
1.24;209.9996081;319.8507149;307.5150515;49.99991226;0.525759101;0.521572173
1.26;209.9996009;319.8511902;307.5133556;49.99990463;0.527177751;0.52156961
1.28;210.0000179;319.8556756;307.5238372;49.99991226;0.52744329;0.521603703
1.3;210.0007117;319.8621398;307.5433642;49.99991989;0.526932359;0.521616578
1.32;210.0012829;319.8671287;307.559719;49.99991989;0.526589572;0.521617532
1.34;210.0016568;319.8703586;307.5697596;49.99991608;0.526420355;0.521612108
1.36;210.0019141;319.8728443;307.5760945;49.99991608;0.526517093;0.521609306
1.38;210.0021799;319.8755046;307.5821692;49.99991226;0.526561439;0.521613061
1.4;210.0025223;319.8789825;307.5904249;49.99991608;0.526615083;0.521615446
1.42;210.0027425;319.88135;307.5971356;49.99992752;0.526714981;0.521618128
1.44;210.0024399;319.8789591;307.5901148;49.99992371;0.524540424;0.521583378
1.46;210.001714;319.8731873;307.568768;49.99990845;0.525632739;0.521560848
1.48;210.0010331;319.8684385;307.5475197;49.99990845;0.525853693;0.52155447
1.5;210.0006729;319.8667392;307.5360775;49.99991226;0.526662052;0.521566153
1.52;210.0005827;319.8672518;307.5330054;49.99991226;0.526490271;0.521576762
1.54;210.0004463;319.8668352;307.5286914;49.99991226;0.525732696;0.52157253
1.56;210.0001398;319.8647826;307.5194904;49.99991226;0.526000023;0.521559298
1.58;209.9999241;319.8635882;307.5124905;49.99991608;0.526411295;0.521567047
1.6;209.9997613;319.8628195;307.5075202;49.99991608;0.52585125;0.521565735
1.62;209.9995223;319.8610479;307.5000696;49.99991608;0.526064932;0.521554828
1.64;209.9993606;319.860012;307.4947144;49.99991608;0.526580215;0.521561801
1.66;209.9992292;319.8592121;307.490919;49.99991608;0.525856137;0.521561503
1.68;209.9989675;319.8569514;307.4833105;49.99991608;0.525923908;0.52155143
1.7;209.9988293;319.855872;307.4782191;49.99990845;0.526600301;0.521557271
1.72;209.999165;319.8590808;307.4859373;49.99990845;0.527642846;0.521582723
